(14, 9)
(26, 6)
(37, 4)
(53, 4)
(76, 5)
(86, 7)
(93, 17)
(96, 22)
(96, 55)
(96, 72)
(93, 84)
(92, 85)
(81, 95)
(62, 96)
(40, 97)
(23, 96)
(18, 95)
(13, 93)
(5, 83)
(3, 76)
(3, 69)
(3, 32)
(7, 21)
(9, 16)
(11, 13)
(15, 9)
(35, 5)
(46, 5)
(50, 5)
(58, 5)
(71, 5)
(79, 6)
(88, 10)
(91, 15)
(95, 24)
(96, 52)
(96, 67)
(95, 73)
(93, 84)
(86, 90)
(79, 95)
(49, 96)
(42, 96)
(21, 95)
(13, 92)
(8, 85)
(7, 83)
(5, 79)
(3, 60)
(3, 34)
(4, 30)
(8, 19)
(10, 17)
(13, 14)
(18, 10)
(24, 8)
(40, 5)
(77, 6)
(85, 10)
(95, 25)
(95, 42)
(95, 52)
(95, 64)
(93, 80)
(92, 82)
(85, 90)
(76, 94)
(69, 95)
(53, 95)
(36, 95)
(20, 94)
(12, 88)
(9, 84)
(6, 78)
(3, 56)
(3, 40)
(8, 23)
(17, 12)
(20, 10)
(25, 9)
(31, 8)
(45, 6)
(48, 6)
(68, 6)
(77, 6)
(80, 8)
(86, 13)
(89, 20)
(90, 23)
(95, 41)
(93, 74)
(90, 82)
(82, 91)
(78, 93)
(52, 94)
(35, 94)
(28, 93)
(18, 90)
(13, 87)
(8, 80)
(7, 78)
(5, 45)
(5, 40)
(6, 30)
(10, 22)
(17, 13)
(20, 11)
(25, 10)
(35, 8)
(72, 6)
(77, 8)
(85, 13)
(90, 24)
(93, 34)
(94, 50)
(91, 73)
(88, 82)
(86, 86)
(83, 89)
(75, 93)
(44, 94)
(40, 94)
(28, 92)
(18, 89)
(15, 88)
(6, 70)
(5, 64)
(5, 40)
(7, 29)
(17, 14)
(22, 11)
(45, 8)
(65, 7)
(70, 7)
(75, 8)
(81, 12)
(84, 15)
(89, 22)
(90, 25)
(93, 36)
(93, 48)
(93, 53)
(92, 59)
(87, 84)
(79, 90)
(75, 92)
(73, 93)
(56, 93)
(46, 93)
(37, 92)
(21, 89)
(15, 85)
(6, 68)
(5, 47)
(6, 63)
(7, 32)
(9, 28)
(17, 15)
(19, 13)
(25, 11)
(43, 9)
(67, 8)
(71, 8)
(81, 12)
(90, 29)
(93, 38)
(93, 43)
(92, 54)
(86, 80)
(83, 86)
(74, 91)
(68, 93)
(59, 93)
(58, 93)
(38, 92)
(21, 88)
(15, 83)
(14, 82)
(11, 77)
(7, 67)
(7, 37)
(11, 25)
(17, 15)
(28, 11)
(44, 9)
(45, 9)
(64, 9)
(81, 12)
(88, 26)
(92, 39)
(92, 42)
(90, 57)
(88, 69)
(82, 86)
(81, 87)
(77, 89)
(68, 92)
(58, 93)
(46, 92)
(23, 87)
(19, 85)
(15, 79)
(8, 68)
(8, 60)
(8, 48)
(8, 45)
(13, 27)
(14, 24)
(20, 14)
(26, 12)
(37, 10)
(54, 10)
(75, 12)
(80, 15)
(87, 26)
(91, 36)
(91, 49)
(89, 61)
(82, 85)
(75, 89)
(67, 92)
(41, 90)
(29, 88)
(22, 86)
(18, 82)
(10, 71)
(8, 62)
(8, 61)
(8, 52)
(8, 46)
(11, 35)
(21, 16)
(28, 12)
(42, 10)
(56, 11)
(69, 12)
(75, 13)
(77, 14)
(83, 22)
(87, 29)
(89, 35)
(90, 42)
(90, 45)
(90, 50)
(88, 63)
(81, 85)
(68, 91)
(61, 91)
(58, 91)
(46, 90)
(26, 87)
(24, 86)
(16, 79)
(13, 75)
(11, 71)
(9, 58)
(9, 57)
(10, 41)
(15, 28)
(16, 26)
(26, 16)
(29, 14)
(42, 10)
(69, 12)
(75, 15)
(77, 17)
(87, 32)
(89, 40)
(89, 44)
(89, 48)
(87, 61)
(84, 74)
(79, 82)
(75, 86)
(73, 88)
(58, 91)
(47, 90)
(33, 88)
(23, 85)
(18, 80)
(13, 74)
(9, 63)
(10, 59)
(10, 57)
(10, 52)
(10, 49)
(12, 36)
(18, 26)
(21, 22)
(23, 20)
(31, 14)
(41, 11)
(54, 11)
(71, 13)
(85, 29)
(88, 42)
(87, 60)
(86, 63)
(80, 78)
(73, 86)
(56, 90)
(54, 90)
(50, 90)
(41, 89)
(31, 87)
(22, 82)
(13, 74)
(11, 60)
(11, 47)
(15, 31)
(19, 25)
(29, 16)
(43, 11)
(52, 11)
(70, 15)
(74, 19)
(82, 28)
(87, 42)
(87, 47)
(85, 62)
(84, 65)
(80, 76)
(78, 79)
(76, 81)
(71, 85)
(66, 87)
(61, 88)
(56, 89)
(55, 89)
(38, 88)
(26, 84)
(23, 82)
(15, 75)
(13, 68)
(11, 47)
(16, 30)
(25, 21)
(33, 15)
(41, 12)
(45, 12)
(54, 13)
(60, 15)
(74, 20)
(81, 27)
(84, 34)
(85, 37)
(87, 44)
(85, 53)
(81, 68)
(78, 78)
(65, 87)
(54, 88)
(40, 88)
(27, 84)
(18, 77)
(16, 73)
(15, 69)
(13, 61)
(12, 48)
(13, 41)
(16, 32)
(26, 23)
(30, 20)
(40, 13)
(43, 13)
(53, 14)
(68, 18)
(74, 20)
(85, 38)
(85, 50)
(84, 56)
(78, 78)
(66, 86)
(57, 87)
(47, 88)
(43, 88)
(41, 88)
(28, 84)
(18, 76)
(16, 71)
(14, 64)
(13, 60)
(12, 51)
(12, 48)
(16, 35)
(17, 32)
(23, 27)
(29, 23)
(40, 17)
(44, 16)
(55, 15)
(72, 21)
(74, 22)
(81, 34)
(85, 41)
(84, 54)
(78, 76)
(77, 77)
(68, 84)
(62, 86)
(52, 87)
(40, 87)
(37, 86)
(24, 78)
(21, 75)
(18, 70)
(15, 65)
(13, 56)
(13, 55)
(14, 46)
(15, 41)
(18, 32)
(27, 25)
(30, 23)
(56, 16)
(72, 22)
(76, 26)
(83, 38)
(84, 48)
(81, 64)
(80, 68)
(77, 74)
(74, 79)
(69, 81)
(63, 83)
(51, 86)
(40, 86)
(26, 78)
(18, 68)
(14, 60)
(15, 55)
(18, 35)
(23, 29)
(25, 27)
(37, 23)
(41, 22)
(58, 18)
(68, 22)
(76, 27)
(82, 40)
(83, 48)
(82, 58)
(77, 73)
(76, 74)
(69, 79)
(64, 81)
(51, 84)
(36, 83)
(26, 76)
(21, 70)
(18, 66)
(16, 52)
(16, 49)
(18, 38)
(20, 35)
(23, 31)
(28, 27)
(30, 26)
(37, 23)
(47, 21)
(53, 20)
(69, 24)
(76, 29)
(80, 36)
(81, 44)
(82, 53)
(82, 55)
(82, 56)
(79, 64)
(77, 69)
(75, 72)
(71, 77)
(64, 81)
(53, 83)
(48, 83)
(41, 82)
(29, 78)
(26, 76)
(21, 70)
(18, 64)
(16, 50)
(18, 44)
(22, 33)
(29, 28)
(38, 23)
(52, 21)
(58, 22)
(68, 25)
(76, 29)
(77, 32)
(82, 54)
(82, 55)
(79, 63)
(77, 68)
(74, 73)
(73, 74)
(69, 78)
(64, 81)
(53, 83)
(48, 83)
(38, 81)
(36, 80)
(23, 72)
(19, 65)
(17, 57)
(18, 53)
(20, 40)
(22, 35)
(25, 31)
(39, 23)
(55, 23)
(61, 24)
(68, 26)
(72, 28)
(73, 29)
(75, 33)
(78, 40)
(79, 58)
(74, 71)
(61, 81)
(46, 82)
(35, 79)
(24, 72)
(19, 61)
(18, 58)
(19, 56)
(19, 52)
(21, 38)
(35, 26)
(37, 25)
(41, 24)
(49, 23)
(57, 24)
(69, 27)
(72, 29)
(74, 31)
(77, 50)
(78, 58)
(78, 59)
(73, 70)
(61, 81)
(49, 81)
(45, 81)
(38, 79)
(31, 76)
(24, 72)
(21, 65)
(19, 58)
(21, 45)
(22, 38)
(26, 34)
(33, 29)
(43, 24)
(53, 24)
(59, 25)
(70, 28)
(72, 30)
(74, 33)
(75, 38)
(78, 59)
(72, 68)
(66, 76)
(47, 81)
(37, 78)
(26, 71)
(21, 64)
(21, 58)
(21, 55)
(21, 45)
(24, 37)
(32, 32)
(47, 24)
(48, 24)
(55, 25)
(60, 26)
(70, 28)
(72, 32)
(75, 39)
(76, 59)
(75, 62)
(73, 66)
(70, 70)
(65, 75)
(58, 78)
(47, 80)
(34, 74)
(21, 63)
(21, 58)
(22, 46)
(23, 40)
(27, 36)
(31, 33)
(36, 30)
(49, 25)
(61, 27)
(67, 28)
(70, 29)
(72, 39)
(74, 53)
(74, 64)
(69, 70)
(65, 74)
(55, 78)
(46, 78)
(40, 76)
(32, 72)
(21, 62)
(22, 51)
(22, 47)
(23, 41)
(35, 33)
(47, 26)
(60, 27)
(69, 31)
(71, 38)
(72, 43)
(73, 64)
(71, 66)
(60, 74)
(57, 76)
(53, 77)
(41, 75)
(34, 72)
(27, 67)
(23, 63)
(22, 48)
(23, 42)
(24, 41)
(37, 34)
(55, 28)
(60, 28)
(66, 30)
(69, 34)
(72, 50)
(72, 55)
(72, 59)
(72, 63)
(71, 66)
(64, 70)
(56, 74)
(55, 74)
(35, 72)
(31, 69)
(23, 59)
(23, 51)
(24, 48)
(29, 40)
(30, 39)
(53, 29)
(62, 29)
(63, 29)
(65, 31)
(71, 45)
(71, 64)
(63, 68)
(52, 73)
(37, 71)
(33, 70)
(28, 64)
(25, 55)
(28, 43)
(29, 41)
(37, 36)
(47, 32)
(58, 29)
(61, 31)
(66, 35)
(69, 42)
(71, 57)
(71, 64)
(65, 67)
(54, 72)
(48, 72)
(34, 70)
(29, 65)
(26, 57)
(26, 57)
(28, 46)
(30, 41)
(43, 34)
(58, 31)
(62, 33)
(65, 36)
(68, 40)
(70, 50)
(71, 63)
(67, 65)
(57, 69)
(52, 71)
(37, 69)
(31, 67)
(28, 51)
(31, 44)
(33, 40)
(36, 38)
(38, 37)
(50, 33)
(53, 32)
(59, 32)
(62, 34)
(67, 41)
(69, 54)
(70, 63)
(62, 67)
(52, 69)
(45, 70)
(33, 67)
(29, 61)
(30, 48)
(34, 41)
(37, 38)
(55, 34)
(61, 34)
(62, 35)
(65, 40)
(68, 51)
(69, 61)
(69, 62)
(64, 66)
(62, 67)
(49, 69)
(41, 67)
(33, 65)
(32, 63)
(31, 52)
(32, 45)
(36, 41)
(42, 37)
(59, 34)
(60, 34)
(61, 36)
(67, 48)
(68, 55)
(65, 65)
(53, 68)
(48, 67)
(38, 63)
(33, 60)
(33, 54)
(34, 49)
(43, 37)
(49, 37)
(58, 39)
(64, 42)
(66, 49)
(64, 60)
(62, 65)
(55, 67)
(43, 65)
(37, 61)
(35, 59)
(35, 51)
(35, 50)
(38, 44)
(40, 42)
(44, 39)
(56, 40)
(64, 42)
(64, 48)
(62, 64)
(57, 66)
(55, 66)
(47, 65)
(35, 59)
(35, 56)
(36, 51)
(43, 42)
(49, 40)
(51, 40)
(61, 45)
(62, 48)
(63, 56)
(61, 64)
(52, 64)
(42, 62)
(37, 59)
(39, 58)
(40, 46)
(51, 41)
(52, 41)
(56, 43)
(60, 47)
(62, 55)
(62, 57)
(57, 62)
(55, 63)
(45, 62)
(39, 58)
(40, 51)
(44, 46)
(47, 44)
(49, 43)
(52, 43)
(59, 49)
(62, 55)
(58, 61)
(55, 62)
(53, 62)
(45, 60)
(40, 52)
(43, 49)
(54, 45)
(62, 55)
(59, 56)
(51, 58)
(44, 59)
(43, 58)
(43, 54)
(45, 49)
(51, 47)
(57, 50)
(61, 54)
(47, 58)
(44, 58)
(44, 55)
(50, 49)
(52, 48)
(59, 53)
(55, 55)
(49, 57)
(49, 56)
(50, 49)
(56, 52)
(50, 50)
(52, 53)
(50, 55)
(50, 53)
